Kustannuspaikan nro;Rakennuksen nimi;Rakennusnro;Rakennuksen osoite;Rakennuksen kayttotarkoitus;Latitude;Longitude;Rakennuksen brutto pinta-ala;Valmistumisvuosi;Peruskorjausvuosi;Laajennusvuosi;Kiinteiston id;Kiinteistotunnus;Kiinteiston osoite;Kiinteiston pinta-ala;Tilatunniste;Kerros numerona;Vuokratilanne;Vuokrattava huoneistoala;Huoneiston version alkupvm;Huoneiston version loppupvm;Huoneiston lisatiedot;Huoneiston sopimusnro;Huoneiston kayttotarkoitus;Huoneiston alv;Huoneiston markkinavuokra
1001;Perhotie 2;PER02;Perhotie 2;Hoitoalan rakennukset;65,12012940930100;25,33271912659020;335.00;2010;;;122;564-401-144-101;Perhotie 2;4320.00;F1-1;1,0;Yes;312.00;4.9.2020 00:00;;;;Päiväkoti;Yes;
1002;Kanervaraitti 1, Oulu;KAN01;Kanervaraitti 1;Hoitoalan rakennukset;65,12999249271200;25,76260609461670;287.00;2010;;;193;564-409-31-314;;4109.00;F1-1;1,0;Yes;266.00;11.9.2020 00:00;;;;Päiväkoti;Yes;
1003;Kehätie 1;KEH01;Kehätie 1;Hoitoalan rakennukset;65,08602906024400;25,68522354804670;413.50;2010;;;103;564-409-60-305;Kehätie 1;3618.00;F1-1;1,0;Yes;379.00;14.9.2020 00:00;;;;Päiväkoti;Yes;
1003;Kehätie 1;KEH01;Kehätie 1;Hoitoalan rakennukset;65,08602906024400;25,68522354804670;413.50;2010;;;103;564-409-60-305;Kehätie 1;3618.00;F1-2;1,0;No;4.50;14.9.2020 00:00;;;;Tekniset tilat;No;
1005;Muhos, Sammontie 5;SAM05;Sammontie 5;Hoitoalan rakennukset;59,82402386006600;22,93966423233690;295.00;2007;;;133;494-402-39-113;Sammontie 5;2306.00;F1-1;1,0;Yes;272.50;27.7.2020 00:00;;;10001583;Päiväkoti;Yes;
1006;Rautaniementie 1, Kuopio;RAU01;Rautaniementie 1;Hoitoalan rakennukset;62,84050793601410;27,69040662228220;568.00;2012;;;194;297-37-2-2;;4468.00;F1-1;1,0;Yes;512.00;14.9.2020 00:00;;;;Päiväkoti;Yes;
1006;Rautaniementie 1, Kuopio;RAU01;Rautaniementie 1;Hoitoalan rakennukset;62,84050793601410;27,69040662228220;568.00;2012;;;194;297-37-2-2;;4468.00;F1-2;1,0;No;8.00;14.9.2020 00:00;;;;Tekniset tilat;No;
1007;Touhula Päiväkodit Risulantie 1;RIS01;Risulantie 1;Hoitoalan rakennukset;63,06659074264320;27,67171305102330;568.00;2011;;-;128;749-405-5-406;Risulantie 1;3598.00;F1-1;1,0;Yes;521.00;3.9.2020 00:00;;;;Päiväkoti;Yes;
1008;Touhula Päiväkodit Pirtinkaari 13;PIR13;Pirtinkaari 13;Hoitoalan rakennukset;62,82954769993650;27,66581948538670;568.00;2011;;-;123;297-34-59-4;Pirtinkaari 13;3598.00;F1-01;1,0;Yes;513.50;1.6.2020 00:00;;;10000016;Päiväkoti;Yes;
1008;Touhula Päiväkodit Pirtinkaari 13;PIR13;Pirtinkaari 13;Hoitoalan rakennukset;62,82954769993650;27,66581948538670;568.00;2011;;-;123;297-34-59-4;Pirtinkaari 13;3598.00;F1-02;1,0;No;8.50;1.6.2020 00:00;;;;Tekniset tilat;Yes;
1009;Metsänvartijantie 1, Oulu;MET01;Metsänvartijantie 1;Hoitoalan rakennukset;64,95107039051720;25,54170094075540;565.50;2013;;;195;564-28-15-1;;4821.00;F1-1;1,0;Yes;519.50;11.6.2020 00:00;;;10000017;Päiväkoti;Yes;
1010;Varuskunta 44, Tuusula;RYK44;Rykmentintie 44;Liikerakennukset;60,40028231069280;25,03290421321340;3600.00;1964;2013;-;131;858-401-5-450;Rykmentintie 44;4195.00;F1-DB;1,0;Yes;3600.00;29.10.2020 08:01;;;;;Yes;
1012;Puotikatu 3-5;PUO03;Puotikatu 3-5;Hoitoalan rakennukset;60,94798838144250;25,63201202770290;295.00;2011;;;126;398-24-490-3, 398-24-490-2;Puotikatu 3-5;4249.00;F1-DB;1,0;Yes;258.00;13.10.2020 00:00;;;;;Yes;
1013;Onnentaival 6;ONN06;Onnentaival 6;Hoitoalan rakennukset;60,46552949889040;25,38466966817660;970.00;2010;;2016;120;611-406-30-12;Onnentaival 6;8655.00;B1-01;0,0;Yes;33.50;21.4.2020 00:00;;;;Muu;Yes;
1013;Onnentaival 6;ONN06;Onnentaival 6;Hoitoalan rakennukset;60,46552949889040;25,38466966817660;970.00;2010;;2016;120;611-406-30-12;Onnentaival 6;8655.00;B1-02;0,0;Yes;13.50;21.4.2020 00:00;;;;Huoltokäytävät;Yes;
1013;Onnentaival 6;ONN06;Onnentaival 6;Hoitoalan rakennukset;60,46552949889040;25,38466966817660;970.00;2010;;2016;120;611-406-30-12;Onnentaival 6;8655.00;B1-03;0,0;Yes;13.50;21.4.2020 00:00;;;;Huoltokäytävät;Yes;
1013;Onnentaival 6;ONN06;Onnentaival 6;Hoitoalan rakennukset;60,46552949889040;25,38466966817660;970.00;2010;;2016;120;611-406-30-12;Onnentaival 6;8655.00;B1-04;0,0;No;18.50;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1013;Onnentaival 6;ONN06;Onnentaival 6;Hoitoalan rakennukset;60,46552949889040;25,38466966817660;970.00;2010;;2016;120;611-406-30-12;Onnentaival 6;8655.00;F1-01;1,0;Yes;797.00;21.4.2020 00:00;;;;Asuntola;Yes;
1014;Varuskunta 45, Tuusula;RYK45;Rykmentintie 45;Hoitoalan rakennukset;60,40028231069280;25,03290421321340;3600.00;1959;2013;-;132;858-401-5-451;Rykmentintie 45;4195.00;F1-DB;1,0;Yes;3600.00;29.10.2020 08:03;;;;;Yes;
1015;Tornitie 4, Ylöjärvi;TOR04;Tornitie 4;Hoitoalan rakennukset;61,53970342275620;23,59312795896010;855.00;2012;;;196;980-427-1-518;;5193.00;F1-01;1,0;Yes;744.00;9.7.2020 00:00;;;10000530;Asuntola;Yes;
1015;Tornitie 4, Ylöjärvi;TOR04;Tornitie 4;Hoitoalan rakennukset;61,53970342275620;23,59312795896010;855.00;2012;;;196;980-427-1-518;;5193.00;F1-02;1,0;No;30.00;20.7.2020 00:00;;;;Tekniset tilat;Yes;
1016;Kuhilaskuja 4a, Joensuu;KUH04;Kuhilaskuja 4;Hoitoalan rakennukset;62,62913189222220;29,68333958367440;783.00;2012;;;197;167-18-168-4;;2921.00;F1-1;1,0;Yes;694.50;28.7.2020 00:00;;;10000531;Asuntola;Yes;
1016;Kuhilaskuja 4a, Joensuu;KUH04;Kuhilaskuja 4;Hoitoalan rakennukset;62,62913189222220;29,68333958367440;783.00;2012;;;197;167-18-168-4;;2921.00;F1-2;1,0;No;15.50;28.7.2020 00:00;;Tekninen tila, suoraan omistettu kohde.;;Tekniset tilat;Yes;
1016;Kuhilaskuja 4b, Joensuu;KUH04B;Kuhilaskuja 4;Hoitoalan rakennukset;62,62899813265790;29,68282035828960;123.50;2012;;;197;167-18-168-4;;2921.00;F1-1;1,0;Yes;32.00;8.4.2020 00:00;;;10000531;Asunto;Yes;
1016;Kuhilaskuja 4b, Joensuu;KUH04B;Kuhilaskuja 4;Hoitoalan rakennukset;62,62899813265790;29,68282035828960;123.50;2012;;;197;167-18-168-4;;2921.00;F1-2;1,0;Yes;31.50;28.7.2020 00:00;;;10000531;Asunto;Yes;
1016;Kuhilaskuja 4b, Joensuu;KUH04B;Kuhilaskuja 4;Hoitoalan rakennukset;62,62899813265790;29,68282035828960;123.50;2012;;;197;167-18-168-4;;2921.00;F1-3;1,0;Yes;28.50;28.7.2020 00:00;;;10000531;Varasto;Yes;
1016;Kuhilaskuja 4b, Joensuu;KUH04B;Kuhilaskuja 4;Hoitoalan rakennukset;62,62899813265790;29,68282035828960;123.50;2012;;;197;167-18-168-4;;2921.00;F1-4;1,0;Yes;12.00;28.7.2020 00:00;;;10000531;Varasto;Yes;
1017;Laivurinkatu 1, Nokia;LAI01;Laivurinkatu 1;Hoitoalan rakennukset;61,44342595359460;23,47691676500740;621.50;2013;;;198;536-19-12-5;;6150.00;F1-1;1,0;Yes;572.50;4.9.2020 00:00;;;10001680;Päiväkoti;Yes;
1018;Leikkitie 5, Vantaa;LEI05;Leikkitie 5;Hoitoalan rakennukset;60,33110999045690;25,02220976308150;565.00;2013;;;199;92-71-101-1;;3835.00;F1-1;1,0;Yes;514.00;29.5.2020 00:00;;;10000041;Päiväkoti;Yes;
1018;Leikkitie 5, Vantaa;LEI05;Leikkitie 5;Hoitoalan rakennukset;60,33110999045690;25,02220976308150;565.00;2013;;;199;92-71-101-1;;3835.00;F1-2;1,0;No;5.50;28.7.2020 00:00;;Tekninen tila, suoraan omistettu kohde.;;Tekniset tilat;Yes;
1022;Nummelan Sähkötie 7;SAH07;Nummelan Sähkötie 7;Hoitoalan rakennukset;60,32531940810870;24,30671386160800;1577.50;2013;;;27;927-406-2-655;;4128.00;F1-01;1,0;Yes;1378.00;4.9.2019 14:13;;;10000778;Asuntola;Yes;
1022;Nummelan Sähkötie 7;SAH07;Nummelan Sähkötie 7;Hoitoalan rakennukset;60,32531940810870;24,30671386160800;1577.50;2013;;;27;927-406-2-655;;4128.00;F1-04;1,0;No;11.50;4.9.2019 14:13;;;;Tekniset tilat;Yes;
1022;Nummelan Sähkötie 7;SAH07;Nummelan Sähkötie 7;Hoitoalan rakennukset;60,32531940810870;24,30671386160800;1577.50;2013;;;27;927-406-2-655;;4128.00;F2-01;2,0;No;27.00;4.9.2019 14:13;;;;Tekniset tilat;Yes;
1028;Ojasalonkuja 2-5;OJA02;Ojasalonkuja 2-5;Hoitoalan rakennukset;62,93956373397430;22,54293534252900;;2006;;Pihakoivu 1 v. 2007 Pihakoivu 2 v. 2009 Pihakoivu 3 v. 2010 Pihakoivu 4 v. 2011;119;743-25-164-1, 743-25-162-2, 743-25-164-2 ja 743-25-163-2;Ojasalonkuja 2-5;3469.00;F1-DB;1,0;Yes;1832.00;13.10.2020 00:00;;;;;Yes;
1028;Ojasalonkuja 2-5;OJA02;Ojasalonkuja 2-5;Hoitoalan rakennukset;62,93956373397430;22,54293534252900;1999.00;2006;;Pihakoivu 1 v. 2007 Pihakoivu 2 v. 2009 Pihakoivu 3 v. 2010 Pihakoivu 4 v. 2011;119;743-25-164-1, 743-25-162-2, 743-25-164-2 ja 743-25-163-2;Ojasalonkuja 2-5;3469.00;F1-DB;1,0;Yes;0.00;19.10.2020 00:00;;;;;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;B1-1;0,0;Yes;66.00;7.9.2020 00:00;;;;Varasto;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;B1-2;0,0;Yes;67.50;7.9.2020 00:00;;;;Varasto;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;B1-3;0,0;Yes;60.00;7.9.2020 00:00;;;;Varasto;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;B1-4;0,0;Yes;59.50;7.9.2020 00:00;;;;Varasto;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;F1-1;1,0;Yes;141.50;7.9.2020 00:00;;;;Toimisto;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;F1-2;1,0;Yes;121.50;7.9.2020 00:00;;;;Asuntola;Yes;
1029;Vaajakoskentie 56, Jyväskylä;VAA56;Vaajakoskentie 56;Asuinrakennukset;62,24305616510570;25,79618551377940;883.00;1992;2013;;200;179-16-142-15;;1493.00;F2-1;2,0;Yes;253.50;7.9.2020 00:00;;;;Asuntola;Yes;
1031;Olkkolantie 1, Joensuu;OLK01;Olkkolantie 1;Hoitoalan rakennukset;62,44003160069400;29,96897633249420;1117.00;2013;;;201;167-30-67-2;;11027.00;F1-1;1,0;Yes;1044.50;11.6.2020 00:00;;;10000004;Asuntola;Yes;
1031;Olkkolantie 1, Joensuu;OLK01;Olkkolantie 1;Hoitoalan rakennukset;62,44003160069400;29,96897633249420;1117.00;2013;;;201;167-30-67-2;;11027.00;F1-1;1,0;Yes;1044.50;11.6.2020 00:00;;;10000004;Asuntola;Yes;
1031;Olkkolantie 1, Joensuu;OLK01;Olkkolantie 1;Hoitoalan rakennukset;62,44003160069400;29,96897633249420;1117.00;2013;;;201;167-30-67-2;;11027.00;F1-2;1,0;Yes;12.50;11.6.2020 00:00;;;10000004;Varasto;Yes;
1033;Poukamankatu 4, Kuopio;POU04;Poukamankatu 4;Hoitoalan rakennukset;62,92008794247050;27,67317684089360;560.50;2014;;;202;297-27-5-4;;2592.00;F1-1;1,0;Yes;521.00;11.6.2020 00:00;;;10000022;Päiväkoti;Yes;
1034;Sipulitie 17, Vantaa;SIP17;Sipulitie 17;Hoitoalan rakennukset;60,31176856636300;25,04148702612350;865.00;2014;;;203;92-60-61-4;;7238.00;F1-01;1,0;Yes;787.00;2.6.2020 00:00;;;10000021;Päiväkoti;Yes;
1034;Sipulitie 17, Vantaa;SIP17;Sipulitie 17;Hoitoalan rakennukset;60,31176856636300;25,04148702612350;865.00;2014;;;203;92-60-61-4;;7238.00;F1-02;1,0;No;10.00;2.6.2020 00:00;;;;Tekniset tilat;Yes;
1037;Vehkakuja 4, Joensuu;VEHK4;Vehkakuja 4;Hoitoalan rakennukset;62,58362773811720;29,77282365494760;2168.50;2013;;;204;167-16-1617-3;;14039.00;F1-1;1,0;Yes;1653.50;11.6.2020 00:00;;;10000015;Päiväkoti;Yes;
1037;Vehkakuja 4, Joensuu;VEHK4;Vehkakuja 4;Hoitoalan rakennukset;62,58362773811720;29,77282365494760;2168.50;2013;;;204;167-16-1617-3;;14039.00;F1-2;1,0;Yes;20.50;11.6.2020 00:00;;;10000015;Varasto;Yes;
1037;Vehkakuja 4, Joensuu;VEHK4;Vehkakuja 4;Hoitoalan rakennukset;62,58362773811720;29,77282365494760;2168.50;2013;;;204;167-16-1617-3;;14039.00;F1-3;1,0;Yes;16.50;11.6.2020 00:00;;;10000015;Varasto;Yes;
1037;Vehkakuja 4, Joensuu;VEHK4;Vehkakuja 4;Hoitoalan rakennukset;62,58362773811720;29,77282365494760;2168.50;2013;;;204;167-16-1617-3;;14039.00;F1-4;1,0;Yes;16.00;11.6.2020 00:00;;;10000015;Varasto;Yes;
1037;Vehkakuja 4, Joensuu;VEHK4;Vehkakuja 4;Hoitoalan rakennukset;62,58362773811720;29,77282365494760;2168.50;2013;;;204;167-16-1617-3;;14039.00;F1-5;1,0;Yes;16.50;11.6.2020 00:00;;;10000015;Varasto;Yes;
1037;Vehkakuja 4, Joensuu;VEHK4;Vehkakuja 4;Hoitoalan rakennukset;62,58362773811720;29,77282365494760;2168.50;2013;;;204;167-16-1617-3;;14039.00;F2-1;2,0;No;202.50;28.7.2020 00:00;;Tekninen tila, suoraan omistettu kohde.;;Tekniset tilat;Yes;
1038;Vihdintie 1;VIH01;Vihdintie 1;Hoitoalan rakennukset;60,33457715801030;24,32115469648680;4855.00;2013;;;140;927-406-3-363;Vihdintie 1;2577.00;F1-DB;1,0;Yes;4112.00;13.10.2020 00:00;;;;;Yes;
1039;Schalininkatu 2, Turku;SCH02;Schalininkatu 2;Hoitoalan rakennukset;60,48934225764500;22,23455676938830;565.00;2014;;;205;853-85-128-1;;4128.00;F1-1;1,0;Yes;520.00;11.6.2020 00:00;;;10000020;Päiväkoti;Yes;
1046;Ohjastie 2, Nurmijärvi;OHJ02;Ohjastie 2;Hoitoalan rakennukset;60,47693330090160;24,83346515800200;1199.50;2014;;;206;543-2-473-1;;5352.00;F1-01;1,0;Yes;1045.50;6.8.2020 00:00;;;10000088;Asuntola;Yes;
1046;Ohjastie 2, Nurmijärvi;OHJ02;Ohjastie 2;Hoitoalan rakennukset;60,47693330090160;24,83346515800200;1199.50;2014;;;206;543-2-473-1;;5352.00;F1-02;1,0;No;3.00;6.8.2020 00:00;;;;Tekniset tilat;Yes;
1046;Ohjastie 2, Nurmijärvi;OHJ02;Ohjastie 2;Hoitoalan rakennukset;60,47693330090160;24,83346515800200;1199.50;2014;;;206;543-2-473-1;;5352.00;F1-03;1,0;No;4.00;6.8.2020 00:00;;;;Tekniset tilat;Yes;
1046;Ohjastie 2, Nurmijärvi;OHJ02;Ohjastie 2;Hoitoalan rakennukset;60,47693330090160;24,83346515800200;1199.50;2014;;;206;543-2-473-1;;5352.00;F1-04;1,0;No;3.00;6.8.2020 00:00;;;;Tekniset tilat;Yes;
1046;Ohjastie 2, Nurmijärvi;OHJ02;Ohjastie 2;Hoitoalan rakennukset;60,47693330090160;24,83346515800200;1199.50;2014;;;206;543-2-473-1;;5352.00;F1-05;1,0;No;19.00;6.8.2020 00:00;;;;Tekniset tilat;Yes;
1047;Sinivuokontie 2, Porvoo;SIN02;Sinivuokontie 2;Hoitoalan rakennukset;60,36396916351900;25,61760505904870;1199.00;2014;;;207;638-421-1-699;;7427.00;F1-DB;1,0;Yes;1128.00;29.10.2020 07:53;;;;;Yes;
1048;Sundetin Puistotie 15;SUN15;Sundetin Puistotie 15;Hoitoalan rakennukset;60,15741687243220;24,55145397844950;617.00;2015;;;134;257-483-2-109;Sundetin Puistotie 15;1255.00;F1-1;1,0;Yes;329.50;20.7.2020 00:00;;;10000094;Asuntola;Yes;
1048;Sundetin Puistotie 15;SUN15;Sundetin Puistotie 15;Hoitoalan rakennukset;60,15741687243220;24,55145397844950;617.00;2015;;;134;257-483-2-109;Sundetin Puistotie 15;1255.00;F2-1;2,0;Yes;220.50;20.7.2020 00:00;;;10000094;Asuntola;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;B1-01;0,0;Yes;135.50;17.4.2020 00:00;;;;Muu;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;B1-02;0,0;No;20.50;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;B1-03;0,0;No;8.50;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;F1-01;1,0;Yes;1041.50;7.9.2020 00:00;;Sopimus 1m2 Elisa Oyj tilassa F1-01;;Asuntola;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;F2-01;2,0;Yes;1032.00;24.4.2020 00:00;;;;Asuntola;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;F3-01;3,0;No;138.50;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1049;Kiviojantie 12;KIV12;Kiviojantie 12;Hoitoalan rakennukset;60,46986120840770;25,10452789282950;2722.50;2015;;;106;186-5-528-9;Kiviojantie 12;4804.00;F3-02;3,0;No;14.00;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1050;Kaskelantie 20a;KAS20A;Kaskelantie 20-22;Hoitoalan rakennukset;60,28161728134590;24,42591187975430;826.00;2015;;;100;257-441-1-677;Kaskelantie 20-22;2738.00;F1-1;1,0;Yes;768.00;23.4.2020 00:00;;;10000100;Päiväkoti;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;B1-01;0,0;Yes;708.50;6.8.2020 00:00;;;;Asuntola;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;B1-02;0,0;No;33.50;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;B1-03;0,0;No;7.50;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;B1-04;0,0;No;2.50;6.8.2020 00:00;;;;Tekniset tilat;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;F1-01;1,0;Yes;747.50;28.4.2020 00:00;;;;Asuntola;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;F2-01;2,0;Yes;747.50;28.4.2020 00:00;;;;Asuntola;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;F3-01;3,0;Yes;755.00;28.4.2020 00:00;;;;Asuntola;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;F4-01;4,0;Yes;210.00;28.4.2020 00:00;;;;Muu;Yes;
1051;Kiinteistö Oy Metsotorni;MET04;Metsolantie 4;Hoitoalan rakennukset;60,35100744030080;25,08129696873500;3773.50;1987;2015;2015;116;92-83-104-5;Metsolantie 4;2339.00;F4-02;4,0;No;110.00;28.7.2020 00:00;;;;Tekniset tilat;Yes;
1052;Kaskelantie 20 b, Kirkkonummi;KAS20;Kaskelantie 20 b;Hoitoalan rakennukset;60,28161728134590;24,42591187975430;1856.00;2015;;;208;257-441-1-676;;6082.00;F1-1;1,0;Yes;1825.00;8.4.2020 00:00;;;;Päiväkoti;Yes;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-01;1,0;Yes;1961.00;11.8.2020 00:00;;;10000185;Asuntola;Yes;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-02;1,0;Yes;3.50;30.9.2020 00:00;;;10000185;Varasto;No;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-03;1,0;No;10.50;11.8.2020 00:00;;;;Tekniset tilat;Yes;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-04;1,0;No;3.50;11.8.2020 00:00;;;;Tekniset tilat;Yes;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-05;1,0;No;4.00;11.8.2020 00:00;;;;Tekniset tilat;Yes;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-06;1,0;No;5.50;11.8.2020 00:00;;;;Tekniset tilat;Yes;
1053;Hyvinkää, Yli-Anttilantie 29;YLI29;Yli-Anttilantie 29;Liikerakennukset;60,60897283369160;24,85061278486970;2201.00;2015;;;209;106-12-1127-2;;6012.00;F1-07;1,0;No;6.00;30.9.2020 00:00;;;;Tekniset tilat;No;
1053;Yli-Anttilantie 29 Jätekatos;YLI29A;Yli-Anttilantie 29;Varastorakennukset;;;20.00;2015;;;209;106-12-1127-2;;6012.00;F1-01;1,0;No;16.00;30.9.2020 00:00;;;;Varasto;No;
1055;Nuutinkorventie 7 A, Jyväskylä;NUU07;Nuutinkorventie 7 A;Hoitoalan rakennukset;62,28944571927070;25,69224855209990;780.00;2014;;;210;179-44-106-4;;2590.00;F1-DB;1,0;Yes;780.00;29.10.2020 08:11;;;;;Yes;
1056;Kiinteistö Oy Rovaniemen Talvitie 34;TAL34;Talvitie 34;Hoitoalan rakennukset;66,53010359326650;25,66904381453730;564.50;2014;;;211;698-10-227-1;;9249.00;F1-1;1,0;Yes;520.00;2.9.2020 00:00;;;;Päiväkoti;No;
1057;Kiinteistö Oy Oulun Kaartintie 6;KAA06;Kaartintie 6;Hoitoalan rakennukset;65,05077368145060;25,60212601034940;889.50;2014;;;212;564-90-6-2;;4100.00;F1-1;1,0;Yes;812.00;11.6.2020 00:00;;;10000113;Päiväkoti;Yes;
1061;Hiirulaisenkuja 6, Oulu;HII06;Hiirulaisenkuja 6;Hoitoalan rakennukset;64,98363658204440;25,51632683076690;556.50;2014;;;213;564-21-6-1;;4100.00;F1-1;1,0;Yes;526.50;7.9.2020 00:00;;;10000121;Päiväkoti;Yes;
1063;Törnäväntie 30 B;TOR30B;Törnäväntie 30 B;Liikerakennukset;62,75533199337280;22,85048494791110;1631.50;1977;2015;-;138;743-11-44-15;Törnäväntie 30B;24175.00;B1-01;0,0;Yes;328.50;28.4.2020 00:00;;;;Asuntola;Yes;
1063;Törnäväntie 30 B;TOR30B;Törnäväntie 30 B;Liikerakennukset;62,75533199337280;22,85048494791110;1631.50;1977;2015;-;138;743-11-44-15;Törnäväntie 30B;24175.00;B1-02;0,0;No;1.00;29.7.2020 00:00;;;;Tekniset tilat;Yes;
1063;Törnäväntie 30 B;TOR30B;Törnäväntie 30 B;Liikerakennukset;62,75533199337280;22,85048494791110;1631.50;1977;2015;-;138;743-11-44-15;Törnäväntie 30B;24175.00;B1-03;0,0;No;11.50;29.7.2020 00:00;;;;Tekniset tilat;Yes;
1063;Törnäväntie 30 B;TOR30B;Törnäväntie 30 B;Liikerakennukset;62,75533199337280;22,85048494791110;1631.50;1977;2015;-;138;743-11-44-15;Törnäväntie 30B;24175.00;B1-04;0,0;No;19.50;29.7.2020 00:00;;;;Tekniset tilat;Yes;
